BASE_YEAR,BASE_MONTH,GU_DC,PC20_CNT,PC40_CNT,PC60_CNT,PC61_CNT
2017,12,강서구,16384,44335,7690,3803
2017,12,금정구,69294,112413,14836,8128
2017,12,기장군,28155,63559,9989,4433
2017,12,남구,73893,117518,14522,6880
2017,12,동구,25839,39809,3389,1090
2017,12,동래구,64403,125691,17882,9543
2017,12,부산진구,97655,176425,20913,8732
2017,12,북구,74557,141640,18497,7927
2017,12,사상구,65992,116368,10624,3075
2017,12,사하구,85501,164367,17984,6340
2017,12,서구,29540,48407,4950,1935
2017,12,수영구,45160,87798,11385,5858
2017,12,연제구,48360,93531,12934,6668
2017,12,영도구,33726,54388,4667,1522
2017,12,중구,13354,21145,1566,446
2017,12,해운대구,95508,191111,31410,22472
2018,3,강서구,17633,51970,9051,4554
2018,3,금정구,70034,116159,15447,8679
2018,3,기장군,28977,68352,10764,4925
2018,3,남구,77204,126734,17377,9661
2018,3,동구,26039,40830,3524,1193
2018,3,동래구,63399,126822,18129,10085
2018,3,부산진구,98430,182329,21943,9623
2018,3,북구,76784,147631,19000,8365
2018,3,사상구,65052,117641,10988,3316
2018,3,사하구,84472,166144,18422,6731
2018,3,서구,29312,48898,5094,2072
2018,3,수영구,44519,88606,11466,6176
2018,3,연제구,47856,96484,13580,7124
2018,3,영도구,34689,57679,5151,1758
2018,3,중구,13287,21351,1588,502
2018,3,해운대구,93928,193996,32164,23824
2018,6,강서구,17633,51970,9051,4554
2018,6,금정구,70034,116159,15447,8679
2018,6,기장군,28977,68352,10764,4925
2018,6,남구,77204,126734,17377,9661
2018,6,동구,26039,40830,3524,1193
2018,6,동래구,63399,126822,18129,10085
2018,6,부산진구,98430,182329,21943,9623
2018,6,북구,76784,147631,19000,8365
2018,6,사상구,65052,117641,10988,3316
2018,6,사하구,84472,166144,18422,6731
2018,6,서구,29312,48898,5094,2072
2018,6,수영구,44519,88606,11466,6176
2018,6,연제구,47856,96484,13580,7124
2018,6,영도구,34689,57679,5151,1758
2018,6,중구,13287,21351,1588,502
2018,6,해운대구,93928,193996,32164,23824
2018,9,강서구,17895,52845,9142,4690
2018,9,금정구,70146,115653,15051,8483
2018,9,기장군,29218,69163,10843,5035
2018,9,남구,77767,127802,17777,10228
2018,9,동구,26044,40922,3546,1201
2018,9,동래구,63262,126942,18211,10327
2018,9,부산진구,98273,182303,22094,9670
2018,9,북구,76538,147469,19028,8467
2018,9,사상구,65181,117604,11049,3373
2018,9,사하구,84511,166244,18346,6766
2018,9,서구,29288,49197,5265,2200
2018,9,수영구,44668,88477,11411,6228
2018,9,연제구,48027,96481,13627,7237
2018,9,영도구,34742,57491,5188,1800
2018,9,중구,13380,21437,1566,519
2018,9,해운대구,93881,194331,32280,24171
2018,12,강서구,17996,53704,9511,4901
2018,12,금정구,70110,115685,15233,8652
2018,12,기장군,29579,69575,11189,5255
2018,12,남구,77424,126655,17701,10074
2018,12,동구,25816,41167,3628,1246
2018,12,동래구,62706,126926,18495,10680
2018,12,부산진구,97546,182096,22598,9963
2018,12,북구,76061,147220,19297,8720
2018,12,사상구,64802,117464,11332,3406
2018,12,사하구,84010,166043,18812,6883
2018,12,서구,29156,49523,5431,2329
2018,12,수영구,44489,88228,11537,6355
2018,12,연제구,47740,96428,13842,7420
2018,12,영도구,34502,57425,5285,1839
2018,12,중구,13315,21540,1616,510
2018,12,해운대구,93452,194415,32659,24664
