BASE_YEAR,BASE_MONTH,MANAGE_CODE_NAME,CLASS_NO_NAME,AGE_DC,VALUE
2019,1,금곡도서관,종교,60,14
2019,1,금곡도서관,종교,70,10
2019,1,금곡도서관,철학,10,5
2019,1,금곡도서관,철학,20,22
2019,1,금곡도서관,철학,30,23
2019,1,금곡도서관,철학,40,26
2019,1,금곡도서관,철학,50,34
2019,1,금곡도서관,철학,60,43
2019,1,금곡도서관,철학,70,11
2019,1,금곡도서관,철학,80,2
2019,1,금곡도서관,총류,10,45
2019,1,금곡도서관,총류,20,40
2019,1,금곡도서관,총류,30,23
2019,1,금곡도서관,총류,40,20
2019,1,금곡도서관,총류,50,65
2019,1,금곡도서관,총류,60,10
2019,1,금곡도서관,총류,70,4
2019,1,금곡도서관,총류,80,3
2019,1,금정도서관,기술과학,10,120
2019,1,금정도서관,기술과학,20,251
2019,1,금정도서관,기술과학,30,110
2019,1,금정도서관,기술과학,40,260
2019,1,금정도서관,기술과학,50,574
2019,1,금정도서관,기술과학,60,215
2019,1,금정도서관,기술과학,70,160
2019,1,금정도서관,기술과학,80,56
2019,1,금정도서관,기술과학,90,7
2019,1,금정도서관,문학,10,2181
2019,1,금정도서관,문학,100,4
2019,1,금정도서관,문학,20,2520
2019,1,금정도서관,문학,30,685
2019,1,금정도서관,문학,40,2111
2019,1,금정도서관,문학,50,4219
2019,1,금정도서관,문학,60,1062
2019,1,금정도서관,문학,70,722
2019,1,금정도서관,문학,80,411
2019,1,금정도서관,문학,90,45
2019,1,금정도서관,사회과학,10,355
2019,1,금정도서관,사회과학,100,2
2019,1,금정도서관,사회과학,20,545
2019,1,금정도서관,사회과학,30,319
2019,1,금정도서관,사회과학,40,548
2019,1,금정도서관,사회과학,50,1091
2019,1,금정도서관,사회과학,60,392
2019,1,금정도서관,사회과학,70,216
2019,1,금정도서관,사회과학,80,54
2019,1,금정도서관,사회과학,90,7
2019,1,금정도서관,언어,10,158
2019,1,금정도서관,언어,20,123
2019,1,금정도서관,언어,30,69
2019,1,금정도서관,언어,40,119
2019,1,금정도서관,언어,50,324
2019,1,금정도서관,언어,60,42
2019,1,금정도서관,언어,70,46
2019,1,금정도서관,언어,80,13
2019,1,금정도서관,언어,90,6
2019,1,금정도서관,역사,10,226
2019,1,금정도서관,역사,100,2
2019,1,금정도서관,역사,20,581
2019,1,금정도서관,역사,30,123
2019,1,금정도서관,역사,40,248
2019,1,금정도서관,역사,50,850
2019,1,금정도서관,역사,60,254
2019,1,금정도서관,역사,70,197
2019,1,금정도서관,역사,80,94
2019,1,금정도서관,역사,90,12
2019,1,금정도서관,예술,10,65
2019,1,금정도서관,예술,20,134
2019,1,금정도서관,예술,30,75
2019,1,금정도서관,예술,40,115
2019,1,금정도서관,예술,50,204
2019,1,금정도서관,예술,60,146
2019,1,금정도서관,예술,70,58
2019,1,금정도서관,예술,80,6
2019,1,금정도서관,예술,90,1
2019,1,금정도서관,자연과학,10,529
2019,1,금정도서관,자연과학,100,1
2019,1,금정도서관,자연과학,20,664
2019,1,금정도서관,자연과학,30,45
2019,1,금정도서관,자연과학,40,400
2019,1,금정도서관,자연과학,50,918
2019,1,금정도서관,자연과학,60,100
2019,1,금정도서관,자연과학,70,99
2019,1,금정도서관,자연과학,80,70
2019,1,금정도서관,자연과학,90,1
2019,1,금정도서관,종교,10,25
2019,1,금정도서관,종교,20,47
2019,1,금정도서관,종교,30,27
2019,1,금정도서관,종교,40,56
2019,1,금정도서관,종교,50,95
2019,1,금정도서관,종교,60,102
2019,1,금정도서관,종교,70,51
2019,1,금정도서관,종교,80,29
2019,1,금정도서관,종교,90,2
2019,1,금정도서관,철학,10,78
2019,1,금정도서관,철학,20,102
2019,1,금정도서관,철학,30,126
2019,1,금정도서관,철학,40,132
2019,1,금정도서관,철학,50,263
2019,1,금정도서관,철학,60,238
2019,1,금정도서관,철학,70,104
2019,1,금정도서관,철학,80,47
2019,1,금정도서관,철학,90,13
2019,1,금정도서관,총류,10,116
2019,1,금정도서관,총류,20,152
2019,1,금정도서관,총류,30,42
2019,1,금정도서관,총류,40,133
2019,1,금정도서관,총류,50,281
2019,1,금정도서관,총류,60,82
2019,1,금정도서관,총류,70,55
2019,1,금정도서관,총류,80,5
2019,1,기장디지털도서관,기술과학,70,2
2019,1,기장디지털도서관,문학,20,2
2019,1,기장디지털도서관,문학,30,9
2019,1,기장디지털도서관,문학,40,7
2019,1,기장디지털도서관,문학,50,18
2019,1,기장디지털도서관,문학,60,1
2019,1,기장디지털도서관,문학,70,5
2019,1,기장디지털도서관,문학,80,8
2019,1,기장디지털도서관,문학,90,3
2019,1,기장디지털도서관,사회과학,30,1
2019,1,기장디지털도서관,사회과학,50,6
2019,1,기장디지털도서관,사회과학,60,5
2019,1,기장디지털도서관,언어,70,1
2019,1,기장디지털도서관,역사,30,1
2019,1,기장디지털도서관,역사,40,2
2019,1,기장디지털도서관,역사,50,3
2019,1,기장디지털도서관,역사,60,6
2019,1,기장디지털도서관,역사,70,4
2019,1,기장디지털도서관,예술,40,2
