BASE_YEAR,BASE_MONTH,GU_DC,WORKTIME_DC,MV_CNT
2017,5,부산진구,퇴근,20379
2017,5,북구,출근,19054
2017,5,북구,퇴근,20661
2017,5,사상구,출근,18415
2017,5,사상구,퇴근,17731
2017,5,사하구,출근,19261
2017,5,사하구,퇴근,19178
2017,5,서구,출근,7259
2017,5,서구,퇴근,6731
2017,5,수영구,출근,18349
2017,5,수영구,퇴근,19327
2017,5,연제구,출근,17924
2017,5,연제구,퇴근,17956
2017,5,영도구,출근,8164
2017,5,영도구,퇴근,7834
2017,5,중구,출근,10299
2017,5,중구,퇴근,11964
2017,5,해운대구,출근,23090
2017,5,해운대구,퇴근,23569
2017,6,강서구,출근,39445
2017,6,강서구,퇴근,32772
2017,6,금정구,출근,14271
2017,6,금정구,퇴근,14478
2017,6,기장군,출근,31025
2017,6,기장군,퇴근,30824
2017,6,남구,출근,14383
2017,6,남구,퇴근,14234
2017,6,동구,출근,6423
2017,6,동구,퇴근,5991
2017,6,동래구,출근,20185
2017,6,동래구,퇴근,21609
2017,6,부산진구,출근,18857
2017,6,부산진구,퇴근,20440
2017,6,북구,출근,19118
2017,6,북구,퇴근,20713
2017,6,사상구,출근,19715
2017,6,사상구,퇴근,19099
2017,6,사하구,출근,19703
2017,6,사하구,퇴근,19585
2017,6,서구,출근,7406
2017,6,서구,퇴근,6826
2017,6,수영구,출근,18883
2017,6,수영구,퇴근,19799
2017,6,연제구,출근,18038
2017,6,연제구,퇴근,18040
2017,6,영도구,출근,8344
2017,6,영도구,퇴근,7977
2017,6,중구,출근,10523
2017,6,중구,퇴근,11706
2017,6,해운대구,출근,23331
2017,6,해운대구,퇴근,23894
2017,7,강서구,출근,51822
2017,7,강서구,퇴근,34885
2017,7,금정구,출근,13741
2017,7,금정구,퇴근,14226
2017,7,기장군,출근,36946
2017,7,기장군,퇴근,34069
2017,7,남구,출근,12235
2017,7,남구,퇴근,12630
2017,7,동구,출근,9593
2017,7,동구,퇴근,8527
2017,7,동래구,출근,19646
2017,7,동래구,퇴근,22074
2017,7,부산진구,출근,21768
2017,7,부산진구,퇴근,23865
2017,7,북구,출근,17671
2017,7,북구,퇴근,19929
2017,7,사상구,출근,24072
2017,7,사상구,퇴근,22123
2017,7,사하구,출근,20292
2017,7,사하구,퇴근,20491
2017,7,서구,출근,7610
2017,7,서구,퇴근,6509
2017,7,수영구,출근,16076
2017,7,수영구,퇴근,19476
2017,7,연제구,출근,15777
2017,7,연제구,퇴근,16020
2017,7,영도구,출근,6864
2017,7,영도구,퇴근,6365
2017,7,중구,출근,13331
2017,7,중구,퇴근,12988
2017,7,해운대구,출근,22210
2017,7,해운대구,퇴근,24786
2017,8,강서구,출근,50887
2017,8,강서구,퇴근,32879
2017,8,금정구,출근,12860
2017,8,금정구,퇴근,13368
2017,8,기장군,출근,36758
2017,8,기장군,퇴근,34371
2017,8,남구,출근,11820
2017,8,남구,퇴근,11855
2017,8,동구,출근,8894
2017,8,동구,퇴근,7782
2017,8,동래구,출근,18564
2017,8,동래구,퇴근,20566
2017,8,부산진구,출근,20983
2017,8,부산진구,퇴근,22800
2017,8,북구,출근,16713
2017,8,북구,퇴근,18651
2017,8,사상구,출근,24165
2017,8,사상구,퇴근,21644
2017,8,사하구,출근,19573
2017,8,사하구,퇴근,19497
2017,8,서구,출근,7192
2017,8,서구,퇴근,6181
2017,8,수영구,출근,15499
2017,8,수영구,퇴근,19375
2017,8,연제구,출근,15193
2017,8,연제구,퇴근,15058
2017,8,영도구,출근,6511
2017,8,영도구,퇴근,6050
2017,8,중구,출근,13527
2017,8,중구,퇴근,13180
2017,8,해운대구,출근,21171
2017,8,해운대구,퇴근,24268
2017,9,강서구,출근,46333
2017,9,강서구,퇴근,31414
2017,9,금정구,출근,12730
2017,9,금정구,퇴근,13487
2017,9,기장군,출근,34060
2017,9,기장군,퇴근,30576
2017,9,남구,출근,11646
2017,9,남구,퇴근,11613
2017,9,동구,출근,7953
2017,9,동구,퇴근,7192
2017,9,동래구,출근,18004
2017,9,동래구,퇴근,20248
2017,9,부산진구,출근,19938
2017,9,부산진구,퇴근,22115
2017,9,북구,출근,15821
2017,9,북구,퇴근,18027
2017,9,사상구,출근,23970
2017,9,사상구,퇴근,22106
2017,9,사하구,출근,18408
2017,9,사하구,퇴근,18347
2017,9,서구,출근,6636
2017,9,서구,퇴근,5406
2017,9,수영구,출근,14620
2017,9,수영구,퇴근,17136
2017,9,연제구,출근,14084
2017,9,연제구,퇴근,14365
2017,9,영도구,출근,6292
2017,9,영도구,퇴근,5700
2017,9,중구,출근,11641
2017,9,중구,퇴근,11160
2017,9,해운대구,출근,19614
2017,9,해운대구,퇴근,21589
2017,10,강서구,출근,49475
2017,10,강서구,퇴근,33628
2017,10,금정구,출근,13533
2017,10,금정구,퇴근,14395
2017,10,기장군,출근,37540
2017,10,기장군,퇴근,33671
2017,10,남구,출근,12264
2017,10,남구,퇴근,12187
2017,10,동구,출근,8259
2017,10,동구,퇴근,7519
2017,10,동래구,출근,19136
2017,10,동래구,퇴근,21544
2017,10,부산진구,출근,20719
2017,10,부산진구,퇴근,23181
2017,10,북구,출근,17288
2017,10,북구,퇴근,18921
2017,10,사상구,출근,25290
2017,10,사상구,퇴근,23631
2017,10,사하구,출근,19151
2017,10,사하구,퇴근,19184
2017,10,서구,출근,7031
2017,10,서구,퇴근,5922
2017,10,수영구,출근,15300
2017,10,수영구,퇴근,18193
2017,10,연제구,출근,14459
2017,10,연제구,퇴근,14812
2017,10,영도구,출근,6879
2017,10,영도구,퇴근,6141
2017,10,중구,출근,12200
2017,10,중구,퇴근,12491
2017,10,해운대구,출근,20945
2017,10,해운대구,퇴근,23236
2017,11,강서구,출근,54291
2017,11,강서구,퇴근,36591
2017,11,금정구,출근,14150
2017,11,금정구,퇴근,15248
2017,11,기장군,출근,38203
2017,11,기장군,퇴근,33709
2017,11,남구,출근,12841
2017,11,남구,퇴근,12935
2017,11,동구,출근,8061
2017,11,동구,퇴근,7141
2017,11,동래구,출근,20244
2017,11,동래구,퇴근,23044
2017,11,부산진구,출근,21329
2017,11,부산진구,퇴근,24196
2017,11,북구,출근,16668
2017,11,북구,퇴근,19578
2017,11,사상구,출근,26425
2017,11,사상구,퇴근,25239
2017,11,사하구,출근,19535
2017,11,사하구,퇴근,19483
2017,11,서구,출근,7374
2017,11,서구,퇴근,5813
2017,11,수영구,출근,15005
2017,11,수영구,퇴근,17964
2017,11,연제구,출근,15899
2017,11,연제구,퇴근,16056
2017,11,영도구,출근,6973
2017,11,영도구,퇴근,6056
2017,11,중구,출근,11206
2017,11,중구,퇴근,10772
2017,11,해운대구,출근,20427
2017,11,해운대구,퇴근,22374
2017,12,강서구,출근,49699
2017,12,강서구,퇴근,31528
2017,12,금정구,출근,14202
2017,12,금정구,퇴근,15108
2017,12,기장군,출근,37918
2017,12,기장군,퇴근,32954
2017,12,남구,출근,13008
